objectid,fid_hi_wetlands,attribute,acres,wetland_type,status
316,756,PEM1Fh,0.05777458,"Freshwater Emergent Wetland",Digital
317,757,PEM1Fh,0.0548691,"Freshwater Emergent Wetland",Digital
318,758,PEM1Fh,0.06731122,"Freshwater Emergent Wetland",Digital
319,759,PEM1Fh,0.44058222,"Freshwater Emergent Wetland",Digital
320,760,PEM1Fh,0.02944116,"Freshwater Emergent Wetland",Digital
321,761,PEM1Fh,0.01390175,"Freshwater Emergent Wetland",Digital
322,762,PEM1Fh,0.00708151,"Freshwater Emergent Wetland",Digital
323,763,PEM1Fh,0.05931814,"Freshwater Emergent Wetland",Digital
324,764,PEM1Fh,0.0156489,"Freshwater Emergent Wetland",Digital
325,765,PEM1Fh,0.04875026,"Freshwater Emergent Wetland",Digital
326,766,PEM1Fh,0.0185777,"Freshwater Emergent Wetland",Digital
327,767,PEM1Fh,0.12875557,"Freshwater Emergent Wetland",Digital
328,768,PEM1Fh,0.0891769,"Freshwater Emergent Wetland",Digital
329,769,PEM1Fh,0.08513247,"Freshwater Emergent Wetland",Digital
330,770,PEM1Fh,0.11946345,"Freshwater Emergent Wetland",Digital
331,771,PEM1Fh,0.0869388,"Freshwater Emergent Wetland",Digital
332,772,PEM1Fh,0.09927124,"Freshwater Emergent Wetland",Digital
333,773,PEM1Fh,0.10416301,"Freshwater Emergent Wetland",Digital
334,774,PEM1Fh,0.1085717,"Freshwater Emergent Wetland",Digital
335,775,PEM1Fh,0.11129254,"Freshwater Emergent Wetland",Digital
336,776,PEM1Fh,0.11550562,"Freshwater Emergent Wetland",Digital
337,777,PEM1Fh,0.11798227,"Freshwater Emergent Wetland",Digital
338,778,PEM1Fh,0.52172765,"Freshwater Emergent Wetland",Digital
339,779,PEM1Fh,0.11630637,"Freshwater Emergent Wetland",Digital
340,780,PEM1Fh,0.11354214,"Freshwater Emergent Wetland",Digital
341,781,PEM1Fh,0.11637773,"Freshwater Emergent Wetland",Digital
342,782,PEM1Fh,0.11464957,"Freshwater Emergent Wetland",Digital
343,783,PEM1Fh,0.11319561,"Freshwater Emergent Wetland",Digital
344,784,PEM1Fh,0.11821368,"Freshwater Emergent Wetland",Digital
345,785,PEM1Fh,0.11327018,"Freshwater Emergent Wetland",Digital
346,786,PEM1Fh,0.10848011,"Freshwater Emergent Wetland",Digital
347,787,PEM1Fh,0.14568692,"Freshwater Emergent Wetland",Digital
348,788,PEM1Fh,0.88539038,"Freshwater Emergent Wetland",Digital
349,789,PEM1Fh,1.816686,"Freshwater Emergent Wetland",Digital
350,790,PEM1Fh,0.43802042,"Freshwater Emergent Wetland",Digital
351,791,PEM1Fh,0.52290626,"Freshwater Emergent Wetland",Digital
352,792,PEM1Fh,0.26911898,"Freshwater Emergent Wetland",Digital
353,793,PEM1Fh,0.65448399,"Freshwater Emergent Wetland",Digital
354,794,PEM1Fh,0.46803147,"Freshwater Emergent Wetland",Digital
355,795,PEM1Fh,0.56180276,"Freshwater Emergent Wetland",Digital
356,796,PEM1Fh,1.4353877,"Freshwater Emergent Wetland",Digital
357,797,PEM1Fh,0.11360323,"Freshwater Emergent Wetland",Digital
358,798,PEM1Fh,0.20594624,"Freshwater Emergent Wetland",Digital
359,799,PEM1Fh,2.05329265,"Freshwater Emergent Wetland",Digital
360,800,PEM1Fx,0.23992379,"Freshwater Emergent Wetland",Digital
361,801,PEM1Fx,0.2225448,"Freshwater Emergent Wetland",Digital
362,802,PFO3A,0.45599489,"Freshwater Forested/Shrub Wetland",Digital
363,803,PFO3C,0.58049887,"Freshwater Forested/Shrub Wetland",Digital
364,804,PFO3C,1.87770505,"Freshwater Forested/Shrub Wetland",Digital
365,805,PFO3C,2.16618026,"Freshwater Forested/Shrub Wetland",Digital
366,806,PFO3C,1.32678994,"Freshwater Forested/Shrub Wetland",Digital
367,807,PFO3C,8.95601748,"Freshwater Forested/Shrub Wetland",Digital
368,808,PFO3C,14.82653699,"Freshwater Forested/Shrub Wetland",Digital
369,809,PFO3C,29.77979538,"Freshwater Forested/Shrub Wetland",Digital
370,810,PFO3C,6.3101872,"Freshwater Forested/Shrub Wetland",Digital
371,811,PFO3C,0.17127847,"Freshwater Forested/Shrub Wetland",Digital
372,812,PFO3C,0.03781646,"Freshwater Forested/Shrub Wetland",Digital
373,813,PFO3C,0.05428514,"Freshwater Forested/Shrub Wetland",Digital
374,814,PFO3C,0.16687542,"Freshwater Forested/Shrub Wetland",Digital
