objectid,zone_class,zoning_des,zoning_lab,loaddate,st_areashape,st_perimetershape
169,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,153511.552540642,2065.59468729755
170,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,147542.149823964,1493.57000354644
171,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,117702.114780189,2527.34052178477
172,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,71930.8076517742,1134.50075181926
173,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,60537.5597857458,1074.85696002503
174,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,366195.10930528,4922.78272646483
175,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,97481.0886886832,1798.44524167045
176,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,33095.7039038631,872.220738960975
177,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,20924.1281399382,644.838152891224
178,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,393748.121918711,3659.03063038303
179,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,32851.8809044589,739.410316995753
180,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,24780.1384821288,629.749567002733
181,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,42576.7082902787,828.150639277458
182,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,263613.964565296,3236.94636519199
183,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,17753.7785575508,567.695878310337
184,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,26614.662816725,672.654284826183
185,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,238681.870469747,2123.85391549816
186,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,91712.3254233513,1463.40175906649
187,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,36482.0376683864,1216.87643446002
188,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,283983.898804406,2683.50820078558
189,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,9686.03887608411,414.392098051122
190,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,186459.73444589,3368.97898296632
191,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,71530.1297490986,1790.49528788509
192,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,1974.53102154322,272.404676815629
193,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,1472.73431260283,182.459602983844
194,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,1212.23406003769,142.190546629845
195,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,2054.0832678884,178.653592169431
196,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,27435.5346986713,815.939835680638
197,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,1028.90411422297,136.271240779965
198,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,4155.52527563554,271.373203363214
199,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,145484.088256117,1888.93806475126
200,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,46801.5269500724,1247.70919609136
201,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,44758.9998487673,850.157605140611
202,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,186776.574799485,2065.03539802631
